iter	Passed	Remaining
784	1065	291
785	1066	290
786	1067	288
787	1068	287
788	1068	285
789	1070	284
790	1071	283
791	1073	281
792	1074	280
793	1075	278
794	1076	277
795	1076	276
796	1078	274
797	1078	273
798	1079	271
799	1080	270
800	1081	268
801	1082	267
802	1082	265
803	1083	264
804	1085	262
805	1086	261
806	1088	260
807	1089	258
808	1090	257
809	1090	255
810	1091	254
811	1092	252
812	1093	251
813	1094	250
814	1095	248
815	1095	247
816	1096	245
817	1097	244
818	1098	242
819	1099	241
820	1100	239
821	1101	238
822	1103	237
823	1104	235
824	1105	234
825	1106	233
826	1107	231
827	1108	230
828	1109	228
829	1110	227
830	1110	225
831	1111	224
832	1112	223
833	1113	221
834	1114	220
835	1115	218
836	1117	217
837	1118	216
838	1119	214
839	1120	213
840	1121	212
841	1122	210
842	1123	209
843	1124	207
844	1125	206
845	1126	204
846	1126	203
847	1127	202
848	1128	200
849	1129	199
850	1130	197
851	1131	196
852	1133	195
853	1134	193
854	1135	192
855	1136	191
856	1137	189
857	1138	188
858	1138	186
859	1139	185
860	1140	184
861	1141	182
862	1142	181
863	1143	179
864	1144	178
865	1146	177
866	1147	176
867	1149	174
868	1150	173
869	1150	171
870	1151	170
871	1152	169
872	1153	167
873	1154	166
874	1155	165
875	1156	163
876	1157	162
877	1157	160
878	1158	159
879	1159	158
880	1160	156
881	1162	155
882	1163	154
883	1164	152
884	1165	151
885	1166	150
886	1167	148
887	1168	147
888	1169	146
889	1170	144
890	1171	143
891	1172	141
892	1173	140
893	1173	139
894	1174	137
895	1176	136
896	1177	135
897	1178	133
898	1179	132
899	1180	131
900	1181	129
901	1181	128
902	1183	127
903	1183	125
904	1184	124
905	1185	122
906	1186	121
907	1187	120
908	1187	118
909	1188	117
910	1189	116
911	1190	114
912	1191	113
913	1193	112
914	1194	110
915	1195	109
916	1196	108
917	1197	106
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1202	100
923	1202	98
924	1203	97
925	1204	96
926	1205	94
927	1207	93
928	1208	92
929	1209	91
930	1210	89
931	1211	88
932	1212	87
933	1213	85
934	1214	84
935	1215	83
936	1216	81
937	1217	80
938	1217	79
939	1218	77
940	1219	76
941	1220	75
942	1222	73
943	1223	72
944	1224	71
945	1225	69
946	1226	68
947	1227	67
948	1228	66
949	1229	64
950	1229	63
951	1230	62
952	1231	60
953	1232	59
954	1233	58
955	1234	56
956	1235	55
957	1236	54
958	1238	52
959	1239	51
960	1240	50
961	1241	49
962	1242	47
963	1243	46
964	1244	45
965	1245	43
966	1246	42
967	1247	41
968	1247	39
969	1248	38
970	1249	37
971	1250	36
972	1251	34
973	1253	33
974	1254	32
975	1255	30
976	1256	29
977	1257	28
978	1258	26
979	1259	25
980	1259	24
981	1260	23
982	1261	21
983	1262	20
984	1263	19
985	1264	17
986	1265	16
987	1267	15
988	1268	14
989	1269	12
990	1270	11
991	1271	10
992	1272	8
993	1273	7
994	1274	6
995	1275	5
996	1276	3
997	1276	2
998	1277	1
999	1278	0
